name,sections,max enrolment,bold info,req,year,term
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,11,SP
HPS/H 162,1,15,Maximum enrollment: 15 students,advanced hum,11,SP
H  188,1,15,Maximum enrollment: 15 students,advanced hum,11,SP
HPS/H 190,1,15,Maximum enrollment: 15 students,advanced hum,11,SP
H/HPS 194,1,15,Maximum enrollment: 15 students // P/F available with instructor's  permission,advanced hum,11,SP
HPS/Pl 124,1,25,Maximum enrollment: 25 students,advanced hum,11,SP
HPS/Pl 133,1,15,Maximum Enrollment: 15 Students,advanced hum,11,SP
HPS/Pl 169,1,15,Maximum enrollment: 15 students// Class meets on 115 Dabney on  April 10th only,advanced hum,11,SP
Hum/H 003A,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,11,SP
Hum/H 003B,1,15,Attendance at the first class is required. //Maximum enrollment: 15  students,frosh hum,11,SP
Hum/H 003C,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,11,SP
Hum/En 006,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,11,SP
Hum/En 007,1,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,11,SP
Hum/Pl 009,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,11,SP
Hum/H/HPS 010,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,11,SP
Mu 139,1,,,advanced hum,11,SP
Pl/Law 093,1,25,"Maximum enroll: 25 students // Class is an Adv Hum course, not Adv  SS.  It does count toward the Philosophy option (even though  numbered below 99).",advanced hum,11,SP
Pl 150,1,12,Course is open to juniors and seniors only // Maximum enrollment:  12 students,advanced hum,11,SP
En 113A,1,15,Open by lottery only - See REGIS Home page for details // Maximum  enrollment: 15 students,advanced hum,12,FA
En 118,1,25,Maximum enrollment: 25 students,advanced hum,12,FA
En/F 160A,1,20,Maximum enrollment: 20 students // Class is full - no longer  accepting students to the waitlist,advanced hum,12,FA
En 183,1,20,Maximum enrollment: 20 students,advanced hum,12,FA
En 187,1,20,Maximum enrollment: 20 students,advanced hum,12,FA
H  109,1,25,Maximum enrollment: 25 students,advanced hum,12,FA
H  122,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
HPS/H 158,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
HPS/H 182,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
Art/H 183,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
H  188,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
HPS/Pl 120,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
HPS/Pl 122,1,20,Maximum enrollment: 20 students,advanced hum,12,FA
Hum/H 002,3,45,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,12,FA
Hum/H 003B,3,45,Maximum enrollment: 15 students//Class closed to continuing  students until term start,frosh hum,12,FA
Hum/H 003C,1,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,12,FA
Hum/En 005,2,15,Maximum enrollment: 15 students//Class closed to continuing  students until term start.,frosh hum,12,FA
Hum/En 006,3,45,Maximum Enrollment: 15 students per section// Class closed to  continuing students until term start.,frosh hum,12,FA
Hum/Pl 008,2,30,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,12,FA
Hum/Pl 009,2,30,Maximum enrollment: 15 students per section//Class closed to  continuing students until term start.,frosh hum,12,FA
Mu 137,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
Pl 150,1,15,Maximum enrollment: 15 students,advanced hum,12,FA
En 113B,1,15,Maximum enrollment: 15 students,advanced hum,12,WI
En 125,1,20,Open by lottery only; See link on the REGIS home page to enter the  lottery by Nov 21st // Maximum enrollment: 20 students,advanced hum,12,WI
En/F 160B,1,18,Open by lottery only; See link on the REGIS home page to enter the  lottery prior to Nov 21st // Maximum enrollment: 18 students,advanced hum,12,WI
En 182,1,15,Seats available - open for registration // Maximum enrollment: 15  students,advanced hum,12,WI
En 188,1,20,Open by lottery only; See link on the REGIS home page to enter the  lottery prior to Nov 21st // Maximum enrollment: 20 students,advanced hum,12,WI
H/SS 124,1,15,Maximum enrollment: 15 students,advanced hum,12,WI
H/L 142,1,15,Maximum enrollment: 15 students,advanced hum,12,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,12,WI
HPS/H 166,1,15,Maximum Enrollment: 15 students,advanced hum,12,WI
HPS/H 170,1,25,Maximum enrollment: 25 students,advanced hum,12,WI
H/HPS 185,1,15,Maximum Enrollment: 15 students,advanced hum,12,WI
HPS/Pl 130,1,20,Maximum enrollment: 20 students,advanced hum,12,WI
HPS/Pl 133,1,15,Open by lottery only; See link on the REGIS home page to enter the  lottery prior to Nov 21st // Maximum enrollment: 15 students,advanced hum,12,WI
Hum/H 003B,2,30,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section.,frosh hum,12,WI
Hum/H 003C,1,15,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students,frosh hum,12,WI
Hum/H 004A,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,12,WI
Hum/En 005,4,60,"Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section. //Section 1 Grades with the  option to P/F, section 2-4 Grades only.",frosh hum,12,WI
Hum/En 006,2,30,"Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section//Section 1 Letter only, Section 2 grades with the option to P/F",frosh hum,12,WI
Hum/En 007,1,15,Attendance at the first class meeting is required.// Maximum  enrollment: 15 students,frosh hum,12,WI
Hum/Pl 008,2,30,Attendance at the first class meeting is required  // Maximum  enrollment: 15 students per section,frosh hum,12,WI
Hum/Pl 009,3,45,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section/,frosh hum,12,WI
Hum/H/HPS 010,2,30,"Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section// Section 1, P/F only",frosh hum,12,WI
Mu 138,1,15,Maximum Enrollment: 15 students,advanced hum,12,WI
Mu 140,1,15,Maximum enrollment: 15 students,advanced hum,12,WI
Pl 151,1,15,"Maximum enrollment: 15 students // class will meet on Thursdays,  Jan 24 and Feb 21 from 7-10pm in 115 Dabney",advanced hum,12,WI
En 118,1,25,Maximum Enrollment: 25 students,advanced hum,12,SP
En 126,1,20,Open by lottery only; see REGIS home page for info // Maximum  Enrollment: 20 students,advanced hum,12,SP
En 181,1,20,Maximum Enrollment: 20 students,advanced hum,12,SP
En/H 193,1,15,Maximum Enrollment: 15 students,advanced hum,12,SP
En/H 197,1,15,Maximum Enrollment: 15 students // Class meets TR 10:30-11:55 in  115 Dabney.  Letter grades only,advanced hum,12,SP
H  118,1,15,Maximum Enrollment: 15 students,advanced hum,12,SP
H  120,1,15,Maximum Enrollment: 15 students,advanced hum,12,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,12,SP
HPS/H 162,1,15,Maximum Enrollment: 15 students,advanced hum,12,SP
HPS/H 167,1,12,Maximum Enrollment: 12 students,advanced hum,12,SP
HPS/H 186,1,15,Maximum Enrollment: 15 students,advanced hum,12,SP
H/HPS 194,1,15,Maximum enrollment: 15 students,advanced hum,12,SP
HPS105,1,,,advanced hum,12,SP
HPS/Pl 128,1,25,Maximum Enrollment: 25 students,advanced hum,12,SP
Pl/HPS 183,1,20,Maximum Enrollment: 20 students,advanced hum,12,SP
Pl/HPS 191,1,20,Maximum Enrollment: 20 students,advanced hum,12,SP
Hum/H 003B,3,45,Attendance at the first class is required. // Maximum enrollment: 15  students per section // Section 1 & 3 Letter Grades Only,frosh hum,12,SP
Hum/H 004A,1,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,12,SP
Hum/En 006,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,12,SP
Hum/En 007,2,30,"Attendance at first class is required.//Maximum enrollment: 15  students per section //Section 2 will meet in the Treasure Room on  Tuesday, April 16th",frosh hum,12,SP
Hum/H/HPS 010,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,12,SP
Mu 139,1,15,maximum enrollment: 15 students,advanced hum,12,SP
En 116,1,15,Maximum enrollment: 15 students,advanced hum,13,FA
En 123,1,20,Maximum enrollment: 20 students,advanced hum,13,FA
En 132,1,15,Maximum enrollment: 15 students,advanced hum,13,FA
En 141,1,,,advanced hum,13,FA
En 189,1,20,Maximum enrollment: 20 students,advanced hum,13,FA
H/An 123,1,15,Open by lottery only - See REGIS home page for details  // Maximum  enrollment: 15 students,advanced hum,13,FA
Art/H 153,1,15,Maximum enrollment: 15 students,advanced hum,13,FA
H/HPS 185,1,20,Maximum enrollment: 20 students,advanced hum,13,FA
H/L 191,1,15,Maximum enrollment: 15 students,advanced hum,13,FA
HPS/Pl 120,1,25,Maximum enrollment: 25 students,advanced hum,13,FA
HPS/Pl 124,1,25,Maximum enrollment: 25 students,advanced hum,13,FA
Hum/H 002,2,30,Attendance at the first class is required // Maximum enrollment: 15  students per section // Close closed to continuing students until term start,frosh hum,13,FA
Hum/H 003B,1,15,"Attendance at the first class is required / Maximum enrollment: 15  students // Class will meet in 128 Bax on 10/29, 10/31 and 11/26",frosh hum,13,FA
Hum/H 003C,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Close closed to continuing students until term start,frosh hum,13,FA
Hum/En 005,5,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start.,frosh hum,13,FA
Hum/En 006,1,15,Attendance at the first class is required // Maximum Enrollment: 15  students // Class closed to continuing students until term start.,frosh hum,13,FA
Hum/Pl 008,2,30,Attendance at the first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start,frosh hum,13,FA
Hum/Pl 009,2,30,Attendance at the first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start.,frosh hum,13,FA
Pl 151,1,15,Maximum enrollment: 15 students,advanced hum,13,FA
En 121,1,25,Maximum enrollment: 25 students,advanced hum,13,WI
En 129,1,20,Open by lottery only; See link on the REGIS home page to enter the  lottery // Maximum enrollment: 20 students,advanced hum,13,WI
En 134,1,20,Maximum enrollment: 20 students,advanced hum,13,WI
En/F 161,1,18,Maximum enrollment: 18 students,advanced hum,13,WI
En 179,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
En 186,1,20,Maximum enrollment: 20 students,advanced hum,13,WI
En 190,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
En/H 193,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
En/H 197,1,15,Maximum enrollment: 15 students // Letter grades only // Class  meets W 1-4pm,advanced hum,13,WI
H  108A,1,25,Maximum enrollment: 25 students,advanced hum,13,WI
H  125,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students,advanced hum,13,WI
H  161,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
HPS/H 166,1,15,Maximum Enrollment: 15 students,advanced hum,13,WI
HPS/H 168,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
Art/H 183,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
HPS/Pl 121,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
HPS/Pl 135,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
Hum/H 003B,5,75,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section. // Section 3: Grades only for  non-frosh,frosh hum,13,WI
Hum/H 003C,1,15,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students,frosh hum,13,WI
Hum/H 004B,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,13,WI
Hum/En 005,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,13,WI
Hum/En 006,4,60,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section//Section 4: Grades only for non- frosh,frosh hum,13,WI
Hum/En 007,2,30,Attendance at the first class meeting is required.// Maximum  enrollment: 15 students per section,frosh hum,13,WI
Hum/Pl 008,2,30,Attendance at the first class meeting is required  // Maximum  enrollment: 15 students per section,frosh hum,13,WI
Hum/Pl 009,2,30,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section/,frosh hum,13,WI
Hum/H/HPS 010,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,13,WI
Mu 138,1,15,Maximum Enrollment: 15 students,advanced hum,13,WI
Pl 150,1,15,Maximum enrollment: 15 students,advanced hum,13,WI
En 115,1,15,maximum enrollment: 15 students,advanced hum,13,SP
En 119,1,15,maximum enrollment: 15 students,advanced hum,13,SP
En 128,1,20,Open by lottery only - see REGIS home page for details // maximum  enrollment: 20 students,advanced hum,13,SP
En 137,1,15,maximum enrollment: 15 students,advanced hum,13,SP
En 182,1,15,maximum enrollment: 15 students,advanced hum,13,SP
H  108B,1,25,maximum enrollment: 25 students,advanced hum,13,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,13,SP
Art/H 154,1,15,maximum enrollment: 15 students,advanced hum,13,SP
HPS/H 158,1,15,maximum enrollment: 15 students,advanced hum,13,SP
HPS/H 160A,1,15,maximum enrollment: 15 students,advanced hum,13,SP
H  161,1,15,maximum enrollment: 15 students,advanced hum,13,SP
HPS/H 162,1,15,maximum enrollment: 15 students,advanced hum,13,SP
HPS/H 168,1,12,maximum enrollment: 12 students,advanced hum,13,SP
H  184,1,15,maximum enrollment: 15 students,advanced hum,13,SP
HPS/Pl 136,1,15,maximum enrollment: 15 students,advanced hum,13,SP
Pl/HPS 183,2,30,maximum enrollment: 15 students per section,advanced hum,13,SP
Hum/H 003B,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,13,SP
Hum/H 003C,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,13,SP
Hum/H 004B,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,13,SP
Hum/En 005,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,13,SP
Hum/En 006,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,13,SP
Hum/En 007,1,15,Attendance at first class is required.//Maximum enrollment: 15  students,frosh hum,13,SP
Hum/Pl 009,2,30,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,13,SP
Hum/H/HPS 010,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,13,SP
Mu 139,1,15,maximum enrollment: 15 students,advanced hum,13,SP
En 122,1,15,Maximum enrollment: 15 students,advanced hum,14,FA
En 126,1,20,Open by lottery only - see REGIS Home page for details // Maximum  enrollment: 20 students,advanced hum,14,FA
En/F 160A,1,18,Maximum enrollment: 18 students,advanced hum,14,FA
En/H 177,1,15,Maximum enrollment: 15 students,advanced hum,14,FA
H/SS 124,1,15,Maximum enrollment: 15 students,advanced hum,14,FA
Art/H 153,1,15,Maximum enrollment: 15 students,advanced hum,14,FA
H  195,1,15,Maximum enrollment: 15 students,advanced hum,14,FA
HPS/Pl 124,1,25,Maximum enrollment: 25 students,advanced hum,14,FA
HPS/Pl 135,1,15,Open by lottery only - see REGIS Home page for details // Maximum  enrollment: 15 students,advanced hum,14,FA
Hum/H 003A,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start,frosh hum,14,FA
Hum/H 003B,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start,frosh hum,14,FA
Hum/H 003C,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start,frosh hum,14,FA
Hum/En 005,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start.,frosh hum,14,FA
Hum/En 006,3,45,Attendance at the first class is required // Maximum enrollment: 15  students per section // Sections 2 & 3 cancelled,frosh hum,14,FA
Hum/En 007,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start,frosh hum,14,FA
Hum/Pl 009,2,30,Attendance at the first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start.,frosh hum,14,FA
Mu 137,1,15,Maximum enrollment: 15 students,advanced hum,14,FA
En/H 110,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
En 113A,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
En/F 160B,1,18,Open by lottery only; See link on the REGIS home page to enter  lottery prior to Nov 19th // Maximum enrollment: 18 students,advanced hum,14,WI
En 178,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
En 183,1,20,Maximum enrollment: 20 students,advanced hum,14,WI
En/H 197,1,15,Maximum enrollment: 15 students // Letter grades only // Class  meets W 1-4pm,advanced hum,14,WI
H  111,1,25,Maximum enrollment: 25 students,advanced hum,14,WI
H/L 142,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students //  Writing Intensive Course,advanced hum,14,WI
HPS/H 166,1,15,Maximum Enrollment: 15 students,advanced hum,14,WI
HPS/H 170,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
HPS/H/Pl 173,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
H/HPS 185,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
HPS/Pl 122,1,15,Maximum enrollment: 15 students,advanced hum,14,WI
HPS/Pl 136,1,15,Open by lottery only; See link on the REGIS home page to enter  lottery prior to Nov 19th // Maximum enrollment: 15 students,advanced hum,14,WI
Hum/H 003B,2,30,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section. // Section 1: Grades only for  non-frosh,frosh hum,14,WI
Hum/H 003C,1,15,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students,frosh hum,14,WI
Hum/H 004A,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,14,WI
Hum/En 005,5,75,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section,frosh hum,14,WI
Hum/En 006,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,14,WI
Hum/Pl 008,2,30,"Attendance at the first class meeting is required  // Maximum  enrollment: 15 students per section// Section 2 will meet in 19  Baxter on Tuesday, Jan 27th",frosh hum,14,WI
Hum/Pl 009,2,30,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section/,frosh hum,14,WI
Hum/H/HPS 010,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,14,WI
Mu 138,1,15,Maximum Enrollment: 15 students,advanced hum,14,WI
Mu 140,1,15,Maximum Enrollment: 15 students,advanced hum,14,WI
En/H 107,1,,,advanced hum,14,SP
En 113B,1,15,maximum enrollment: 15 students,advanced hum,14,SP
En 118,1,25,maximum enrollment: 25 students,advanced hum,14,SP
En 123,1,20,maximum enrollment: 20 students,advanced hum,14,SP
En 127,1,16,Open by lottery only - see REGIS home page for info // maximum  enrollment: 16 students,advanced hum,14,SP
En 182,1,15,maximum enrollment: 15 students,advanced hum,14,SP
En/H 193,1,15,maximum enrollment: 15 students,advanced hum,14,SP
H  112,1,25,Open by lottery only - see REGIS home page for info // maximum  enrollment: 25 students,advanced hum,14,SP
H  135,1,15,"maximum enrollment: 15 students // class will meet in Baxter 19 on  Tuesday, April 14th",advanced hum,14,SP
Law/PS/H 148B,1,30,Maximum enrollment: 30 students,advanced hum,14,SP
Art/H 154,1,15,maximum enrollment: 15 students,advanced hum,14,SP
HPS/H 160A,1,15,maximum enrollment: 15 students,advanced hum,14,SP
HPS/H 162,1,15,maximum enrollment: 15 students,advanced hum,14,SP
HPS/H 167,1,12,maximum enrollment: 12 students,advanced hum,14,SP
HPS/H/Pl 176,1,15,maximum enrollment: 15 students,advanced hum,14,SP
Pl/HPS 183,2,30,maximum enrollment: 15 students per section,advanced hum,14,SP
Hum/H 003A,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,14,SP
Hum/H 003B,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,14,SP
Hum/H 003C,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,14,SP
Hum/H 004A,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,14,SP
Hum/En 005,3,45,Attendance at the first class is required. // Maximum enrollment: 15  students per section // Section 1 Letter grades only,frosh hum,14,SP
Hum/En 006,1,15,Attendance at the first class is required.//Maximum enrollment: 15  students,frosh hum,14,SP
Hum/En 007,1,15,Attendance at first class is required.//Maximum enrollment: 15  students// Class is now closed.  Contact instructor to be added to a  waitlist.,frosh hum,14,SP
Hum/Pl 008,3,45,Attendance at the first class is required. // Maximum enrollment: 15  students per section.,frosh hum,14,SP
Hum/H/HPS 010,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,14,SP
Mu 139,1,15,maximum enrollment: 15 students,advanced hum,14,SP
Pl 185,1,20,Maximum enrollment: 20 students,advanced hum,14,SP
En 103,1,15,Maximum enrollment: 15 students,advanced hum,15,FA
En 105,1,15,Maximum enrollment: 15 students,advanced hum,15,FA
En 121,1,20,Maximum enrollment: 20 students,advanced hum,15,FA
En 183,1,,,advanced hum,15,FA
H  125,1,15,"Maximum enrollment: 15 students // class will meet in 237 Baxter on Thursday, 10/8/15",advanced hum,15,FA
H  128,1,15,Maximum enrollment: 15 students,advanced hum,15,FA
HPS/H 164,1,15,Maximum enrollment: 15 students,advanced hum,15,FA
H/HPS 185,1,15,"Maximum enrollment: 15 students // class will meet in Dabney TR on Thursday, 10/8/15 //class will meet in 19 Baxter on 11/19",advanced hum,15,FA
HPS/Pl 123,1,15,Maximum enrollment: 15 students,advanced hum,15,FA
HPS/Pl 134,1,15,Issue: Language and Innateness // Maximum enrollment: 15  students,advanced hum,15,FA
Hum/H 002,2,30,Attendance at first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start // Grades only for non-frosh // sec 1 will meet in 19 Bax on ,frosh hum,15,FA
Hum/H 003B,1,15,Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start,frosh hum,15,FA
Hum/H 003C,1,15,"Attendance at the first class is required // Maximum enrollment: 15  students // Class closed to continuing students until term start //  class will meet in 237 Baxter on Thursday, 10/8/15",frosh hum,15,FA
Hum/En 005,4,60,Attendance at the first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start. // Sec 1 Grades only for non-frosh,frosh hum,15,FA
Hum/Pl 008,2,30,Attendance at first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start,frosh hum,15,FA
Hum/Pl 009,2,30,Attendance at the first class is required // Maximum enrollment: 15  students per section // Class closed to continuing students until term start.,frosh hum,15,FA
Pl 100,1,25,Maximum enrollment: 25 students,advanced hum,15,FA
En 125,1,20,open by lottery only; see link on the REGIS home page to enter by  November 18th /maximum enrollment: 20 students,advanced hum,15,WI
En/F 161,1,18,open by lottery only; see the link on the REGIS home page to enter  lottery prior to November 18th // maximum enrollment: 18 students,advanced hum,15,WI
En 190,1,15,maximum enrollment: 15 students,advanced hum,15,WI
En/H 197,1,15,maximum enrollment: 15 students // Letter grades only // Class  meets TR 2:30 - 4pm in 125 Baxter,advanced hum,15,WI
H  108A,1,25,maximum enrollment: 25 students,advanced hum,15,WI
H  129,1,15,maximum enrollment: 15 students,advanced hum,15,WI
H  135,1,15,maximum enrollment: 15 students,advanced hum,15,WI
Law/PS/H 148A,1,30,Maximum enrollment: 30 students //  Writing Intensive Course,advanced hum,15,WI
HPS/H 166,1,15,maximum Enrollment: 15 students,advanced hum,15,WI
HPS/H 167,1,15,maximum enrollment: 15 students,advanced hum,15,WI
H/L 191,1,15,maximum enrollment: 15 students,advanced hum,15,WI
HPS/Pl 120,1,15,maximum enrollment: 15 students,advanced hum,15,WI
HPS/Pl 121,1,15,maximum enrollment: 15 students,advanced hum,15,WI
HPS/Pl 138,1,15,Open by lottery only; see link on REGIS home page to enter lottery by Nov 18th// maximum enrollment: 15 students,advanced hum,15,WI
HPS157,1,20,"maximum enrollment: 20 students // first class will be on Tuesday,  January 12th",advanced hum,15,WI
Hum/H 003A,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,15,WI
Hum/H 003B,2,30,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students per section. // section 2 has been cancelled.,frosh hum,15,WI
Hum/H 003C,1,15,Attendance at the first class meeting is required. // Maximum  Enrollment: 15 students,frosh hum,15,WI
Hum/H 004B,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students // class will meet in 19 Bax on 2/2/16,frosh hum,15,WI
Hum/En 005,4,60,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students per section // section 1 cancelled,frosh hum,15,WI
Hum/En 006,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,15,WI
Hum/Pl 009,2,30,Attendance at first class meeting is required.//Maximum Enrollment: 15 students per section/,frosh hum,15,WI
Hum/H/HPS 010,1,15,Attendance at the first class meeting is required. // Maximum  enrollment: 15 students,frosh hum,15,WI
Hum105A,1,,,advanced hum,15,WI
Hum114B,1,,,advanced hum,15,WI
Mu 138,1,20,maximum enrollment: 20 students,advanced hum,15,WI
En 104,1,15,Maximum Enrollment: 15 students,advanced hum,15,SP
En 118,1,25,maximum enrollment: 25 students,advanced hum,15,SP
En 128,1,20,open by lottery only; see link on the REGIS home page to enter by  February 24th //maximum enrollment: 20 students,advanced hum,15,SP
En 182,1,20,maximum enrollment: 20 students,advanced hum,15,SP
En 186,1,20,maximum enrollment: 20 students,advanced hum,15,SP
H  108B,1,25,maximum enrollment: 25 students,advanced hum,15,SP
Law/PS/H 148B,1,30,Law/PS/H 148a is a prerequisite // maximum enrollment: 30  students,advanced hum,15,SP
HPS/H 152,1,10,maximum enrollment: 10 students // class will meet in Baxter 128  on April 28th,advanced hum,15,SP
HPS/H 160A,1,15,maximum enrollment: 15 students,advanced hum,15,SP
HPS/H 162,1,15,maximum enrollment: 15 students,advanced hum,15,SP
HPS/H 167,1,15,maximum enrollment: 15 students,advanced hum,15,SP
HPS/H 196,1,15,maximum enrollment: 15 students,advanced hum,15,SP
HPS/Pl 125,1,15,maximum enrollment: 15 students,advanced hum,15,SP
HPS/Pl 136,1,15,open by lottery only; see link on the REGIS home page to enter by  February 24th // maximum enrollment: 15 students,advanced hum,15,SP
Pl/HPS 183,1,20,maximum enrollment: 20 students in section 1 // section 2 cancelled,advanced hum,15,SP
Hum/H 003A,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,15,SP
Hum/H 003B,2,30,Attendance at the first class is required. // Maximum enrollment: 15  students per section // section 1 grades only // section 2 cancelled,frosh hum,15,SP
Hum/H 003C,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,15,SP
Hum/H 004B,1,15,Attendance at the first class is required. // Maximum Enrollment: 15  students,frosh hum,15,SP
Hum/En 006,2,30,Attendance at the first class is required.// Maximum enrollment: 15  students per section // section 1 grades only,frosh hum,15,SP
Hum/En 007,1,15,Attendance at first class is required.//Maximum enrollment: 15  students // Section 1 cancelled,frosh hum,15,SP
Hum/Pl 008,2,30,Attendance at the first class is required. // Maximum enrollment: 15  students per section. // Section 2 will meet in 127 Baxter on April  28th,frosh hum,15,SP
Hum/Pl 009,1,15,Attendance at the first class is required. // Maximum enrollment: 15  students,frosh hum,15,SP
Hum/H/HPS 010,1,15,Attendance at the first class is required.  // Maximum enrollment: 15 students,frosh hum,15,SP
Hum114C,1,,,advanced hum,15,SP
L/Hum 152A,1,,,advanced hum,15,SP
Hum174,1,,,advanced hum,15,SP
Mu 139,1,20,maximum enrollment: 20 students,advanced hum,15,SP
En 108,1,17,maximum enrollment: 17 students,advanced hum,16,FA
En 113A,1,18,maximum enrollment: 18 students,advanced hum,16,FA
En 119,1,20,maximum enrollment: 20 students,advanced hum,16,FA
